Kota_Asal,JENIS_KELAMIN,JURUSAN_SMA,Prodi,IPK
15,1,2,5,3.34
15,1,4,12,3.34
15,2,6,3,3.34
15,1,4,3,3.34
15,1,2,8,3.34
15,2,5,8,3.34
31,1,2,6,3.34
5,1,2,8,3.34
6,1,2,2,3.34
11,2,4,2,3.33
11,1,2,3,3.33
12,1,1,1,3.33
15,1,2,5,3.33
15,2,2,2,3.33
15,1,1,5,3.33
15,2,6,5,3.33
11,2,4,5,3.32
12,1,2,5,3.32
12,1,2,12,3.32
15,1,2,5,3.32
15,1,6,6,3.32
15,2,4,2,3.32
15,2,4,3,3.32
15,2,4,5,3.32
15,2,2,12,3.32
15,1,2,12,3.32
15,2,2,12,3.32
20,2,2,5,3.32
29,2,1,9,3.32
10,2,2,5,3.31
11,2,4,2,3.31
11,2,19,3,3.31
11,2,2,8,3.31
12,2,5,8,3.31
12,2,2,8,3.31
12,2,19,8,3.31
12,2,19,8,3.31
15,2,1,2,3.31
15,1,1,5,3.31
15,2,4,3,3.31
15,1,5,8,3.31
15,1,2,3,3.31
15,2,5,5,3.31
15,2,2,5,3.31
15,1,2,5,3.31
15,1,6,5,3.31
15,1,5,8,3.31
15,2,2,8,3.31
20,1,2,8,3.31
20,1,2,10,3.31
26,2,2,3,3.31
4,1,4,8,3.31
9,1,13,3,3.31
11,2,2,8,3.3
11,2,1,7,3.3
15,1,2,4,3.3
15,2,4,8,3.3
15,1,2,10,3.3
15,2,19,3,3.3
15,1,2,8,3.3
12,1,2,2,3.29
12,2,4,3,3.29
12,1,6,5,3.29
12,1,2,8,3.29
12,1,1,10,3.29
12,1,19,5,3.29
12,1,1,10,3.29
12,1,1,12,3.29
15,2,4,3,3.29
15,2,5,5,3.29
15,1,2,5,3.29
15,1,2,5,3.29
15,1,2,6,3.29
15,2,5,8,3.29
15,2,2,8,3.29
15,2,2,2,3.29
15,1,4,2,3.29
15,1,19,9,3.29
15,1,18,10,3.29
15,1,12,11,3.29
15,1,19,12,3.29
20,2,1,6,3.29
20,1,2,5,3.29
23,1,1,11,3.29
9,1,1,9,3.29
9,1,1,10,3.29
11,2,6,5,3.28
11,1,1,10,3.28
12,2,1,5,3.28
12,2,1,7,3.28
12,1,1,8,3.28
12,2,2,5,3.28
12,1,6,11,3.28
15,1,4,2,3.28
15,1,4,3,3.28
15,1,2,5,3.28
15,1,2,8,3.28
15,1,2,5,3.28
15,2,2,8,3.28
15,1,2,9,3.28
9,2,1,6,3.28
11,1,2,2,3.27
11,1,2,3,3.27
11,2,5,8,3.27
12,2,2,3,3.27
12,2,13,5,3.27
12,1,4,5,3.27
15,1,4,2,3.27
15,2,4,2,3.27
15,1,4,3,3.27
15,1,4,4,3.27
15,2,2,5,3.27
15,1,4,9,3.27
15,1,1,10,3.27
15,2,2,12,3.27
15,2,2,3,3.27
15,2,1,3,3.27
15,1,2,5,3.27
15,2,4,5,3.27
15,1,1,5,3.27
15,2,2,8,3.27
15,1,5,8,3.27
15,1,4,9,3.27
15,1,19,11,3.27
31,2,6,3,3.27
9,1,19,10,3.27
11,1,2,5,3.26
11,1,4,2,3.26
11,2,5,8,3.26
12,2,2,2,3.26
12,1,6,9,3.26
15,1,2,3,3.26
15,2,1,6,3.26
15,1,1,12,3.26
15,2,4,2,3.26
15,2,6,3,3.26
15,2,4,6,3.26
15,2,4,8,3.26
15,2,19,8,3.26
20,2,4,2,3.26
26,2,2,6,3.26
11,2,4,5,3.25
12,1,2,2,3.25
12,2,2,2,3.25
12,2,19,10,3.25
12,2,1,10,3.25
12,1,2,12,3.25
15,1,2,2,3.25
15,1,4,2,3.25
15,1,4,3,3.25
15,2,2,2,3.25
15,2,1,2,3.25
15,2,4,2,3.25
15,2,2,3,3.25
15,2,4,3,3.25
15,2,1,5,3.25
15,2,1,12,3.25
2,2,2,2,3.25
26,2,1,11,3.25
7,1,4,3,3.25
9,2,7,2,3.25
12,1,1,1,3.24
12,2,4,2,3.24
15,1,1,1,3.24
15,2,2,2,3.24
15,1,2,9,3.24
15,1,19,10,3.24
15,2,4,2,3.24
15,2,6,3,3.24
15,1,19,3,3.24
15,1,2,3,3.24
15,2,18,5,3.24
15,2,2,8,3.24
15,1,18,10,3.24
11,2,1,11,3.23
11,2,4,2,3.23
12,2,6,5,3.23
15,2,2,2,3.23
15,1,4,2,3.23
15,2,4,4,3.23
15,2,2,5,3.23
15,1,2,5,3.23
15,1,1,5,3.23
15,1,1,5,3.23
15,1,4,9,3.23
15,2,2,1,3.23
15,1,2,5,3.23
15,2,17,5,3.23
15,1,2,5,3.23
15,1,1,10,3.23
20,2,1,4,3.23
9,1,19,12,3.23
10,1,1,8,3.22
11,2,2,3,3.22
11,2,2,5,3.22
12,2,4,2,3.22
12,2,6,3,3.22
12,1,17,5,3.22
15,1,2,3,3.22
15,2,4,3,3.22
15,1,2,5,3.22
15,2,2,2,3.22
15,1,18,3,3.22
20,2,2,7,3.22
20,2,1,8,3.22
20,2,2,5,3.22
28,2,1,10,3.22
11,1,19,5,3.21
11,2,2,12,3.21
12,2,1,5,3.21
12,1,2,5,3.21
12,1,2,5,3.21
15,2,4,2,3.21
15,1,4,5,3.21
15,2,4,3,3.21
15,1,5,10,3.21
15,1,2,12,3.21
15,1,2,12,3.21
15,2,4,2,3.21
15,2,2,2,3.21
15,2,4,2,3.21
15,2,4,2,3.21
15,1,2,3,3.21
15,1,1,4,3.21
15,1,6,5,3.21
15,2,5,5,3.21
15,2,1,5,3.21
19,2,3,4,3.21
29,1,2,5,3.21
29,2,1,2,3.21
11,1,19,5,3.2
11,2,19,12,3.2
12,2,19,5,3.2
12,1,2,9,3.2
15,1,2,3,3.2
15,2,2,3,3.2
15,1,4,8,3.2
15,1,2,3,3.2
15,1,4,5,3.2
15,2,2,8,3.2
15,1,2,9,3.2
15,1,1,9,3.2
20,1,4,10,3.2
10,2,1,8,3.19
11,1,19,10,3.19
11,2,2,2,3.19
11,2,2,8,3.19
15,1,4,2,3.19
15,2,6,5,3.19
15,2,1,4,3.19
15,2,5,8,3.19
4,1,2,8,3.19
11,1,18,5,3.18
11,2,2,5,3.18
11,1,19,12,3.18
11,1,4,2,3.18
11,1,4,5,3.18
12,1,1,6,3.18
12,1,2,12,3.18
12,1,1,4,3.18
15,2,4,2,3.18
15,2,2,3,3.18
15,1,2,5,3.18
15,2,2,5,3.18
15,2,5,7,3.18
15,1,6,9,3.18
15,1,19,10,3.18
15,2,2,2,3.18
15,2,6,3,3.18
15,2,3,3,3.18
15,2,2,5,3.18
15,1,3,5,3.18
15,1,1,9,3.18
9,2,7,3,3.18
11,1,2,3,3.17
11,2,4,5,3.17
11,2,2,6,3.17
12,2,19,5,3.17
15,1,4,2,3.17
15,2,4,3,3.17
15,2,2,8,3.17
15,1,4,10,3.17
15,1,1,11,3.17
17,1,5,5,3.17
11,2,4,2,3.16
11,1,2,3,3.16
11,2,4,5,3.16
11,1,19,5,3.16
12,1,19,10,3.16
12,1,1,2,3.16
12,2,2,8,3.16
12,2,1,11,3.16
15,1,19,5,3.16
15,1,4,5,3.16
15,2,2,6,3.16
15,1,2,7,3.16
15,2,6,3,3.16
15,1,4,2,3.16
15,2,2,5,3.16
15,2,19,5,3.16
15,2,13,5,3.16
15,1,5,5,3.16
5,1,1,10,3.16
12,2,19,4,3.15
12,1,4,2,3.15
12,2,19,2,3.15
15,2,4,4,3.15
15,1,6,10,3.15
15,1,2,12,3.15
15,1,4,1,3.15
15,2,2,2,3.15
15,2,1,7,3.15
15,1,19,10,3.15
20,2,2,8,3.15
29,1,1,12,3.15
11,2,4,2,3.14
11,2,4,2,3.14
12,1,1,5,3.14
12,2,2,3,3.14
12,1,2,4,3.14
15,1,2,2,3.14
15,2,4,2,3.14
15,1,2,3,3.14
15,1,2,5,3.14
15,1,2,5,3.14
15,1,19,5,3.14
15,2,1,7,3.14
15,1,19,10,3.14
15,1,2,12,3.14
15,1,4,1,3.14
15,1,4,2,3.14
21,2,1,2,3.14
6,1,17,10,3.14
11,1,2,10,3.13
11,1,1,12,3.13
12,1,2,8,3.13
12,1,2,3,3.13
15,2,2,6,3.13
15,1,2,11,3.13
15,2,4,9,3.13
20,1,2,5,3.13
6,2,1,8,3.13
11,1,2,2,3.12
11,1,2,5,3.12
11,1,4,3,3.12
12,2,1,4,3.12
12,1,5,8,3.12
12,1,19,10,3.12
12,1,1,11,3.12
15,1,4,5,3.12
15,2,2,7,3.12
15,2,2,8,3.12
15,1,2,12,3.12
15,2,1,2,3.12
15,1,4,2,3.12
15,1,2,3,3.12
15,2,2,5,3.12
15,2,19,8,3.12
20,2,4,2,3.12
20,1,2,10,3.12
29,2,3,4,3.12
6,1,1,3,3.12
12,1,2,5,3.11
12,2,2,12,3.11
12,2,1,4,3.11
15,2,4,2,3.11
15,2,19,3,3.11
15,1,19,5,3.11
15,1,6,9,3.11
15,2,2,2,3.11
15,1,4,2,3.11
15,1,2,8,3.11
15,2,5,8,3.11
20,1,19,10,3.11
11,2,19,10,3.1
12,1,4,2,3.1
12,2,19,5,3.1
12,2,19,8,3.1
12,1,1,11,3.1
12,1,1,12,3.1
12,2,2,12,3.1
15,2,1,4,3.1
15,2,2,5,3.1
15,1,1,10,3.1
15,2,4,2,3.1
15,2,4,2,3.1
15,1,2,5,3.1
15,1,1,5,3.1
15,2,2,5,3.1
15,1,2,5,3.1
20,2,2,8,3.1
29,1,1,3,3.1
5,1,2,12,3.1
11,2,6,4,3.09
12,2,2,2,3.09
12,2,4,3,3.09
15,1,4,3,3.09
15,2,2,5,3.09
15,2,2,8,3.09
15,2,4,2,3.09
15,1,2,5,3.09
15,1,1,10,3.09
17,2,1,3,3.09
28,1,2,3,3.09
9,2,14,8,3.09
11,2,2,2,3.08
12,2,1,10,3.08
12,2,2,2,3.08
12,1,13,3,3.08
12,1,17,10,3.08
15,2,4,2,3.08
15,2,4,2,3.08
15,1,6,3,3.08
15,1,4,3,3.08
15,1,2,3,3.08
15,1,4,8,3.08
15,2,1,12,3.08
15,1,19,12,3.08
15,2,2,2,3.08
15,2,4,3,3.08
15,1,2,5,3.08
15,1,4,3,3.08
15,1,2,8,3.08
15,1,6,9,3.08
3,2,2,2,3.08
4,1,2,3,3.08
4,1,2,8,3.08
11,2,4,3,3.07
13,2,2,3,3.07
15,2,19,2,3.07
15,2,1,4,3.07
15,2,2,8,3.07
15,2,4,2,3.07
15,1,6,5,3.07
15,1,2,5,3.07
15,2,1,6,3.07
15,1,1,3,3.07
20,1,2,3,3.07
20,2,19,5,3.07
29,2,6,3,3.07
12,2,2,8,3.06
12,1,2,2,3.06
12,1,2,3,3.06
12,2,19,9,3.06
12,1,1,12,3.06
15,1,2,3,3.06
15,2,6,5,3.06
15,1,2,8,3.06
15,1,16,8,3.06
15,2,2,8,3.06
15,1,2,2,3.06
15,1,1,3,3.06
15,2,6,5,3.06
15,1,1,5,3.06
15,2,2,5,3.06
29,2,2,3,3.06
29,2,1,4,3.06
11,2,4,2,3.05
11,1,19,5,3.05
12,1,2,3,3.05
12,1,19,3,3.05
12,2,2,3,3.05
15,2,6,3,3.05
15,2,1,3,3.05
15,1,2,3,3.05
15,1,4,3,3.05
15,1,8,9,3.05
15,1,2,2,3.05
15,2,4,2,3.05
15,2,2,2,3.05
15,2,4,2,3.05
15,1,2,2,3.05
15,1,1,3,3.05
15,2,1,3,3.05
15,2,4,3,3.05
15,2,2,3,3.05
15,1,4,5,3.05
15,1,2,8,3.05
15,1,19,9,3.05
15,2,6,9,3.05
9,1,4,2,3.05
11,2,19,5,3.04
12,2,2,5,3.04
15,2,4,2,3.04
15,1,2,3,3.04
15,1,2,5,3.04
15,2,2,8,3.04
15,1,2,3,3.04
15,2,4,5,3.04
15,1,2,12,3.04
5,2,18,4,3.04
11,1,4,5,3.03
12,2,2,2,3.03
12,1,2,2,3.03
12,1,2,5,3.03
12,2,2,5,3.03
15,2,4,2,3.03
15,2,2,3,3.03
15,1,2,3,3.03
15,1,2,5,3.03
15,1,4,3,3.03
15,1,2,10,3.03
15,2,4,10,3.03
15,2,4,3,3.03
15,2,5,4,3.03
15,2,2,5,3.03
15,2,4,5,3.03
15,1,5,8,3.03
15,1,13,8,3.03
15,2,1,8,3.03
20,1,17,6,3.03
29,2,1,4,3.03
4,1,2,5,3.03
11,1,18,9,3.02
12,1,19,12,3.02
12,2,1,4,3.02
12,2,19,5,3.02
12,1,2,12,3.02
15,1,1,5,3.02
15,1,4,9,3.02
15,1,18,5,3.02
20,2,2,5,3.02
29,2,2,3,3.02
29,2,2,12,3.02
11,2,2,3,3.01
11,1,2,3,3.01
12,1,2,5,3.01
12,1,2,8,3.01
12,2,1,8,3.01
15,1,2,2,3.01
15,2,4,2,3.01
15,1,2,2,3.01
15,1,2,2,3.01
15,2,1,3,3.01
15,2,4,5,3.01
15,2,2,7,3.01
15,1,2,8,3.01
15,1,5,8,3.01
15,1,4,10,3.01
15,1,6,12,3.01
15,2,4,2,3.01
15,2,4,3,3.01
15,1,2,5,3.01
15,1,2,5,3.01
15,1,19,5,3.01
15,2,1,5,3.01
15,2,2,5,3.01
15,1,1,5,3.01
15,2,2,5,3.01
15,2,19,5,3.01
15,1,6,9,3.01
15,2,4,12,3.01
20,2,1,5,3.01
22,2,4,2,3.01
9,2,19,3,3.01
11,1,18,10,3
12,2,4,5,3
12,1,2,10,3
15,1,4,7,3
15,1,2,12,3
15,1,2,1,3
15,1,2,3,3
15,2,2,5,3
11,1,17,9,2.99
11,1,1,10,2.99
12,2,1,2,2.99
12,1,19,3,2.99
12,2,6,3,2.99
12,1,1,4,2.99
12,1,2,5,2.99
12,1,2,5,2.99
12,1,2,6,2.99
15,1,19,3,2.99
15,1,2,5,2.99
15,1,4,5,2.99
15,1,2,10,2.99
15,1,2,2,2.99
15,1,2,3,2.99
15,2,2,3,2.99
15,1,19,5,2.99
15,1,2,9,2.99
15,1,2,10,2.99
20,1,4,5,2.99
22,2,19,5,2.99
29,2,19,3,2.99
29,2,1,5,2.99
11,1,19,5,2.98
12,1,4,3,2.98
12,1,19,12,2.98
13,2,1,3,2.98
15,2,1,4,2.98
15,2,2,3,2.98
15,1,1,8,2.98
15,1,17,10,2.98
15,1,5,8,2.98
9,2,4,3,2.98
11,1,2,3,2.97
12,1,2,3,2.97
12,2,1,5,2.97
15,2,2,5,2.97
15,1,2,8,2.97
15,1,4,2,2.97
19,2,2,8,2.97
20,2,2,3,2.97
20,2,6,12,2.97
20,2,2,2,2.97
21,2,3,8,2.97
12,2,1,4,2.96
12,1,1,10,2.96
15,2,6,3,2.96
28,2,1,3,2.96
11,2,2,8,2.95
11,2,6,1,2.95
11,1,2,9,2.95
12,1,2,3,2.95
12,1,4,5,2.95
12,1,19,12,2.95
12,2,18,4,2.95
15,2,5,5,2.95
15,2,5,7,2.95
15,1,8,9,2.95
15,1,4,3,2.95
15,1,4,3,2.95
15,1,1,9,2.95
15,1,6,9,2.95
15,1,18,10,2.95
12,2,2,4,2.94
12,1,19,5,2.94
15,1,4,1,2.94
15,2,4,8,2.94
15,1,2,1,2.94
15,1,2,2,2.94
15,1,2,8,2.94
28,2,1,8,2.94
12,2,1,11,2.93
15,1,4,5,2.93
15,2,6,2,2.93
15,2,4,2,2.93
15,2,2,5,2.93
15,1,12,9,2.93
11,2,19,8,2.92
15,2,4,2,2.92
15,1,2,2,2.92
15,2,5,6,2.92
15,1,2,3,2.91
15,2,19,5,2.91
15,2,6,5,2.91
15,2,4,5,2.91
15,2,2,10,2.91
15,1,2,9,2.91
11,1,4,10,2.9
12,2,2,3,2.9
15,1,2,3,2.9
15,1,1,8,2.9
15,1,2,9,2.9
15,1,10,9,2.9
15,1,1,10,2.9
15,1,4,9,2.9
15,1,19,9,2.9
20,2,2,3,2.9
13,1,2,2,2.89
15,2,2,3,2.89
15,2,6,3,2.89
15,1,19,3,2.89
23,2,1,4,2.89
11,2,1,10,2.88
11,2,2,3,2.88
11,2,19,5,2.88
12,2,1,2,2.88
12,2,1,2,2.88
12,1,19,10,2.88
12,1,2,5,2.88
15,2,4,2,2.88
15,1,1,2,2.88
15,1,4,3,2.88
15,1,2,3,2.88
15,1,2,10,2.88
15,2,1,2,2.88
15,1,2,3,2.88
15,1,19,9,2.88
11,1,2,5,2.87
12,1,18,10,2.87
15,2,2,2,2.87
15,1,19,3,2.87
15,1,2,9,2.87
15,1,19,12,2.87
15,1,4,2,2.87
15,1,4,9,2.87
26,1,2,3,2.87
12,1,2,9,2.86
12,1,17,10,2.86
15,1,2,6,2.86
15,2,2,3,2.86
15,1,10,10,2.86
15,2,4,2,2.86
15,1,2,5,2.86
15,2,2,6,2.86
15,1,4,12,2.86
9,2,1,7,2.86
12,1,1,5,2.85
15,2,4,2,2.85
15,1,4,5,2.85
15,2,4,2,2.85
11,1,4,2,2.84
11,1,2,2,2.84
11,2,2,7,2.84
11,2,4,5,2.84
12,1,2,3,2.84
12,2,2,5,2.84
15,2,4,2,2.84
15,2,2,5,2.84
15,1,4,12,2.84
15,1,2,2,2.84
15,2,4,2,2.84
15,1,2,3,2.84
15,1,4,3,2.84
15,1,2,5,2.84
15,1,2,6,2.84
15,1,19,9,2.84
29,2,1,10,2.84
11,1,19,5,2.83
12,1,4,2,2.83
15,1,17,5,2.83
15,1,1,5,2.83
15,2,6,3,2.83
7,2,2,3,2.83
11,2,2,2,2.82
12,1,2,5,2.82
12,1,2,3,2.82
12,2,14,12,2.82
15,1,11,3,2.82
15,1,12,3,2.82
15,2,3,8,2.82
15,2,2,3,2.82
15,1,2,5,2.82
15,1,4,9,2.82
15,1,2,9,2.82
15,1,2,12,2.82
4,1,1,10,2.82
12,1,19,3,2.81
12,1,17,3,2.81
15,1,2,3,2.81
15,1,2,3,2.81
15,2,4,3,2.81
15,1,2,6,2.81
15,1,2,8,2.81
15,2,4,2,2.81
15,2,19,12,2.81
9,1,1,6,2.81
11,2,2,1,2.8
15,1,4,2,2.8
15,2,2,2,2.8
15,1,2,4,2.8
12,2,2,4,2.79
15,1,4,2,2.79
15,1,2,3,2.79
15,1,2,4,2.79
15,1,6,3,2.79
15,1,2,12,2.79
20,2,1,6,2.79
20,1,2,3,2.79
15,1,4,3,2.78
15,1,2,2,2.78
15,2,6,3,2.78
15,1,2,12,2.78
29,2,1,4,2.78
29,1,1,4,2.78
11,1,19,12,2.77
12,2,1,2,2.77
12,1,2,12,2.77
12,1,2,12,2.77
15,1,4,3,2.77
15,1,4,5,2.77
15,2,3,6,2.77
15,1,2,2,2.77
15,1,4,2,2.77
15,2,19,5,2.77
15,1,2,10,2.77
26,2,1,3,2.77
29,2,1,2,2.77
9,2,2,2,2.77
11,1,18,5,2.76
12,1,2,5,2.76
12,1,2,5,2.76
15,2,4,2,2.76
15,1,6,5,2.76
9,1,4,3,2.76
15,1,2,2,2.75
15,1,2,3,2.75
15,1,2,3,2.75
15,1,2,3,2.75
15,1,2,3,2.75
15,1,4,9,2.75
20,1,4,3,2.75
11,2,2,4,2.74
15,1,2,5,2.74
15,1,6,3,2.74
15,2,4,5,2.74
11,2,4,2,2.73
11,1,4,10,2.73
15,1,2,12,2.73
15,2,2,2,2.73
15,1,1,3,2.73
12,1,19,3,2.72
15,2,4,3,2.72
15,1,2,5,2.72
15,2,2,6,2.72
15,1,18,10,2.72
15,1,4,3,2.72
15,1,2,3,2.72
15,1,2,9,2.71
15,1,2,9,2.71
15,1,4,2,2.71
15,1,4,9,2.71
22,1,2,2,2.71
24,2,2,6,2.71
12,1,2,3,2.7
15,2,2,2,2.7
15,2,2,2,2.7
15,2,4,2,2.7
15,2,19,3,2.7
15,1,2,3,2.7
15,1,2,9,2.7
15,1,4,10,2.7
11,1,4,9,2.69
12,1,1,10,2.69
15,2,4,2,2.69
15,1,1,4,2.69
15,1,2,3,2.69
20,1,2,9,2.69
11,2,4,2,2.68
12,1,13,10,2.68
12,1,1,10,2.68
15,2,2,2,2.68
15,1,4,2,2.68
15,1,2,2,2.68
15,2,2,2,2.68
15,2,4,2,2.68
15,1,2,2,2.68
15,2,4,2,2.68
15,1,2,6,2.68
15,2,6,3,2.68
15,1,2,3,2.68
15,2,4,3,2.68
15,1,2,12,2.68
11,2,5,4,2.67
12,1,2,4,2.67
15,2,2,2,2.67
15,1,6,2,2.67
15,1,2,9,2.67
24,2,2,3,2.67
4,1,2,3,2.67
12,2,4,2,2.66
12,2,2,10,2.66
15,2,2,2,2.66
15,1,2,6,2.66
15,2,6,8,2.66
20,2,2,2,2.66
15,1,2,3,2.65
15,1,2,5,2.65
15,2,5,4,2.65
11,2,2,7,2.64
15,2,2,2,2.64
15,1,4,3,2.64
15,1,5,3,2.64
15,1,2,3,2.64
15,1,2,12,2.64
12,2,2,4,2.63
15,1,2,1,2.63
15,2,2,2,2.63
15,1,4,2,2.63
15,1,2,3,2.63
15,1,2,6,2.62
15,1,2,8,2.62
15,1,2,3,2.62
15,2,15,5,2.62
15,1,2,5,2.62
28,1,1,2,2.62
29,2,2,3,2.62
15,2,7,2,2.61
15,2,4,2,2.6
15,2,2,7,2.6
15,1,4,3,2.6
15,2,6,4,2.6
11,1,2,2,2.59
31,2,4,2,2.59
15,2,2,3,2.58
20,1,2,2,2.58
29,2,2,3,2.58
19,2,2,4,2.57
2,2,1,4,2.57
12,2,2,5,2.56
15,1,2,3,2.56
15,1,4,9,2.55
11,2,4,4,2.53
15,1,4,9,2.53
15,1,2,3,2.53
9,1,13,2,2.53
12,1,2,5,2.52
15,1,2,3,2.52
15,1,19,4,2.51
15,1,4,9,2.5
15,2,19,3,2.49
15,1,6,10,2.49
15,1,2,9,2.48
9,1,13,3,2.47
9,2,4,2,2.45
15,1,2,10,2.42
15,1,4,3,2.4
29,2,1,3,2.4
12,2,2,2,2.32
